序号,收寄省,收寄市,寄达省,寄达市,线路,高德里程,四象限线路类型,线路类别,"特快标准
（T+N）","行业时效产品
80%时限水平（T+N)",特快标准对比行业80%邮件时限水平,特快标准对比行业时限众数,"快包标准
（T+N）","行业非时效产品
80%时限水平（T+N)",快包标准对比行业非时效80%邮件时限水平,快包标准对比行业时限众数,行业线路时限众数,特快经转节点数,行业经转节点数,经转次数差异,"特快专递样本量
（件）",特快主要轨迹,行业主要轨迹,"投递天数差
（特快-行业）","特快专递全程时限
（小时）","特快专递全程时限环比
（11月-10月）
（小时）","行业全程时限
（小时）","行业全程时限环比
（11月-10月）
（小时）",特快专递次日递率,"特快专递次日递率环比
（11月-10月）",行业次日递率,"行业次日递率环比
（11月-10月）","特快专递平均天数T+N
（天）","特快专递平均天数T+N环比
（11月-10月）
（天）","行业平均天数T+N
（天）","行业平均天数T+N环比
（11月-10月）
（天）","特快专递收寄时限
（小时）","特快专递收寄时限环比
（11月-10月）
（小时）","特快专递出口段时限
（小时）","特快专递出口段时限环比
（11月-10月）
（小时）","特快专递中转段时限
（小时）","特快专递中转段时限环比
（11月-10月）
（小时）","特快专递进口段时限
（小时）","特快专递进口段时限环比
（11月-10月）
（小时）","特快专递投递时限
（小时）","特快专递投递时限环比
（11月-10月）
（小时）","行业样本量
（件）","行业收寄时限
（小时）","行业出口段时限
（小时）","行业中转段时限
（小时）","行业进口段时限
（小时）","行业投递时限
（小时）","次日递率差
（排序时限）
（特快-行业）","国家邮政局
50重点城市",长三角,珠三角,环渤海,长珠互寄,东三省,中部四省,川渝,行业2025年9月日均业务量估算值（件）,邮政日均业务量,是否够量市场线路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,安徽省,铜陵市,江苏省,宿迁市,铜陵市宿迁市,430,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.7 ,3.3 ,1.4 ,569,铜陵市-芜湖市-淮安市-宿迁市,铜陵市-芜湖市-淮安市-宿迁市,1.2 ,51.5 ,,23.1 ,,7.9%,,100.0%,,T+2.2,,T+1.0,,2.5 ,,14.5 ,,6.3 ,,25.5 ,,2.7 ,,30,2.8 ,7.0 ,5.2 ,6.3 ,1.8 ,-92.1%,,1,,,,,,,50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,辽宁省,鞍山市,吉林省,辽源市,鞍山市辽源市,330,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.5 ,2.8 ,0.7 ,513,鞍山市-沈阳市-长春市-辽源市,鞍山市-沈阳市-辽源市,1.1 ,46.9 ,-2.7 ,20.3 ,-1.3 ,5.3%,-0.4%,97.4%,4.7%,T+2.1,-0.1 ,T+1.0,-0.1 ,5.1 ,-0.8 ,13.4 ,-3.0 ,7.3 ,-1.5 ,18.0 ,1.9 ,3.2 ,0.7 ,39,2.9 ,7.2 ,4.5 ,3.1 ,2.6 ,-92.1%,,,,,,1,,,100,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,安徽省,芜湖市,江苏省,连云港市,芜湖市连云港市,424,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,3.4 ,2.1 ,1.3 ,"2,028",芜湖市-淮安市-连云港市,芜湖市-连云港市,1.3 ,55.0 ,2.7 ,22.7 ,-1.8 ,4.8%,-8.3%,96.9%,4.6%,T+2.3,0.2 ,T+1.0,-0.1 ,4.1 ,0.6 ,15.1 ,2.6 ,5.1 ,0.6 ,27.3 ,-1.3 ,3.4 ,0.3 ,319,3.6 ,5.9 ,7.4 ,3.5 ,2.3 ,-92.1%,,1,,,,,,,400,106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,广西壮族自治区,梧州市,广东省,珠海市,梧州市珠海市,345,-,省际,1,1,持平,持平,1,1,持平,持平,1,3.4 ,3.3 ,0.1 ,202,梧州市-广州市-珠海市,梧州市-中山市-珠海市,1.2 ,52.7 ,2.9 ,24.6 ,3.5 ,1.5%,0.5%,93.5%,-6.5%,T+2.3,0.2 ,T+1.1,0.1 ,4.4 ,1.1 ,6.5 ,0.2 ,4.6 ,-0.9 ,30.3 ,1.1 ,6.9 ,1.4 ,31,4.0 ,3.3 ,5.9 ,7.2 ,4.3 ,-92.0%,,,,,,,,,100,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,福建省,南平市,广东省,汕尾市,南平市汕尾市,657,-,省际,3,1,落后,落后,2,1,落后,落后,1,4.3 ,3.2 ,1.1 ,976,南平市-福州市-广州市-汕尾市,南平市-揭阳市-汕尾市,1.2 ,55.7 ,-2.0 ,27.8 ,-1.7 ,0.0%,0.0%,92.0%,2.8%,T+2.3,0.0 ,T+1.1,0.0 ,3.4 ,-0.3 ,14.0 ,-3.0 ,10.1 ,0.1 ,23.5 ,1.3 ,4.7 ,-0.1 ,75,4.2 ,6.4 ,8.7 ,6.5 ,1.9 ,-92.0%,,,,,,,,,100,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,山东省,青岛市,河北省,衡水市,青岛市衡水市,566,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.6 ,3.0 ,0.5 ,"6,626",青岛市-石家庄市-衡水市,青岛市-济南市-衡水市,1.2 ,55.2 ,-5.5 ,26.4 ,-4.8 ,0.6%,-0.3%,92.4%,17.5%,T+2.3,-0.3 ,T+1.1,-0.2 ,4.3 ,0.4 ,10.5 ,-0.5 ,10.2 ,-1.2 ,23.2 ,-4.8 ,7.0 ,0.7 ,"1,001",3.2 ,9.7 ,6.2 ,3.9 ,3.3 ,-91.8%,,,,,,,,,"1,200",235,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,安徽省,阜阳市,江西省,南昌市,阜阳市南昌市,566,劣势线路,省际,2,1,落后,落后,1,1,持平,持平,1,4.0 ,2.5 ,1.5 ,"3,977",阜阳市-合肥市-南昌市,阜阳市-合肥市-南昌市,1.5 ,59.9 ,-0.9 ,25.2 ,-0.5 ,1.8%,-0.2%,93.6%,3.5%,T+2.6,-0.1 ,T+1.1,-0.1 ,5.7 ,-0.2 ,24.1 ,-0.3 ,9.6 ,0.1 ,15.5 ,-0.7 ,4.9 ,0.1 ,327,3.0 ,7.5 ,7.3 ,3.8 ,3.5 ,-91.8%,,,,,,,,,600,166,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,广东省,河源市,湖南省,长沙市,河源市长沙市,682,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.4 ,2.1 ,1.3 ,193,河源市-广州市-长沙市,河源市-长沙市,1.1 ,51.4 ,1.7 ,29.1 ,-4.4 ,0.0%,0.0%,91.8%,24.6%,T+2.2,0.1 ,T+1.1,-0.3 ,3.8 ,0.1 ,15.6 ,-0.4 ,11.0 ,0.5 ,14.1 ,-0.2 ,6.9 ,1.7 ,97,4.1 ,7.2 ,11.3 ,4.2 ,2.4 ,-91.8%,,,,,,,,,200,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,湖北省,襄阳市,河南省,南阳市,襄阳市南阳市,138,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.1 ,2.2 ,1.9 ,980,襄阳市-郑州市-南阳市,襄阳市-南阳市,1.4 ,56.9 ,-1.2 ,24.5 ,-4.7 ,6.0%,3.2%,97.8%,19.4%,T+2.4,-0.1 ,T+1.0,-0.2 ,4.7 ,-0.2 ,16.0 ,-0.4 ,8.7 ,-0.2 ,22.6 ,-0.6 ,5.0 ,0.2 ,46,3.5 ,5.5 ,3.3 ,7.1 ,5.2 ,-91.8%,,,,,,,1,,200,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,广东省,珠海市,广西壮族自治区,防城港市,珠海市防城港市,644,-,省际,2,1,落后,落后,2,1,落后,落后,1,5.0 ,3.0 ,2.0 ,809,珠海市-深圳市-南京市-南宁市-防城港市,珠海市-江门市-钦州市-防城港市,1.4 ,56.8 ,0.3 ,24.9 ,-4.4 ,2.1%,1.1%,93.9%,24.5%,T+2.5,0.0 ,T+1.1,-0.3 ,0.9 ,-0.1 ,13.0 ,-1.8 ,11.7 ,0.3 ,21.9 ,2.0 ,9.3 ,-0.1 ,33,2.3 ,8.6 ,7.9 ,3.5 ,2.6 ,-91.8%,,,,,,,,,100,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,贵州省,贵阳市,广西壮族自治区,南宁市,贵阳市南宁市,589,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,2.6 ,2.0 ,0.6 ,"1,177",贵阳市-南宁市,贵阳市-南宁市,1.1 ,48.3 ,-0.1 ,27.4 ,-2.7 ,3.4%,-1.7%,95.2%,12.4%,T+2.1,0.0 ,T+1.1,-0.1 ,2.1 ,0.0 ,12.3 ,-0.9 ,9.3 ,0.1 ,18.4 ,0.3 ,6.3 ,0.4 ,330,3.7 ,8.3 ,9.6 ,3.2 ,2.6 ,-91.8%,1,,,,,,,,"1,100",48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,安徽省,宿州市,江西省,南昌市,宿州市南昌市,662,-,省际,1,1,持平,持平,1,1,持平,持平,1,3.3 ,2.5 ,0.8 ,"3,862",宿州市-徐州市-南昌市,宿州市-蚌埠市-南昌市,1.3 ,53.7 ,-3.0 ,24.7 ,-1.6 ,5.8%,1.5%,97.6%,5.9%,T+2.3,-0.1 ,T+1.0,-0.1 ,6.7 ,0.0 ,10.0 ,-1.9 ,16.4 ,1.2 ,15.6 ,-2.6 ,4.9 ,0.2 ,290,2.3 ,7.7 ,9.4 ,2.8 ,2.5 ,-91.8%,,,,,,,,,800,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,福建省,宁德市,浙江省,台州市,宁德市台州市,347,劣势线路,省际,-,1,-,-,-,1,-,-,1,3.6 ,2.5 ,1.1 ,"2,536",宁德市-金华市-台州市,宁德市-温州市-台州市,1.3 ,50.8 ,-0.7 ,25.4 ,-0.4 ,5.0%,0.2%,96.8%,2.7%,T+2.3,0.0 ,T+1.0,0.0 ,8.9 ,-0.3 ,9.5 ,-0.7 ,7.2 ,-0.5 ,21.8 ,0.6 ,3.4 ,0.2 ,373,4.8 ,4.3 ,4.8 ,7.3 ,4.2 ,-91.8%,,,,,,,,,900,150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,江西省,九江市,安徽省,蚌埠市,九江市蚌埠市,452,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.3 ,3.3 ,1.0 ,682,九江市-鹰潭市-合肥市-蚌埠市,九江市-南昌市-合肥市-蚌埠市,1.1 ,47.8 ,-3.6 ,26.6 ,-0.2 ,1.8%,0.0%,93.5%,0.0%,T+2.1,-0.1 ,T+1.1,0.0 ,1.4 ,-0.3 ,16.0 ,-1.4 ,8.2 ,0.2 ,16.8 ,-1.3 ,5.5 ,-0.7 ,31,3.3 ,7.7 ,6.6 ,6.8 ,2.3 ,-91.7%,,,,,,,,,100,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,山西省,晋城市,河南省,商丘市,晋城市商丘市,328,-,省际,2,1,落后,落后,2,2,持平,落后,1,4.1 ,3.9 ,0.2 ,"2,310",晋城市-太原市-郑州市-商丘市,晋城市-郑州市-商丘市,1.1 ,50.2 ,-2.1 ,26.6 ,-4.2 ,0.2%,0.0%,91.8%,5.7%,T+2.2,-0.1 ,T+1.1,-0.1 ,4.9 ,-0.2 ,14.5 ,-0.5 ,8.7 ,0.3 ,18.7 ,-1.7 ,3.5 ,0.0 ,49,6.3 ,2.8 ,3.7 ,10.8 ,2.8 ,-91.6%,,,,,,,,,200,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,广东省,韶关市,福建省,漳州市,韶关市漳州市,601,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.4 ,3.5 ,-0.1 ,620,韶关市-广州市-厦门市-漳州市,韶关市-广州市-河源市-漳州市,1.1 ,54.1 ,0.7 ,28.3 ,-1.0 ,1.1%,0.7%,92.7%,6.0%,T+2.2,0.0 ,T+1.1,0.0 ,5.0 ,0.9 ,10.8 ,-0.6 ,11.2 ,-1.1 ,19.3 ,-1.7 ,7.8 ,3.2 ,41,2.3 ,13.2 ,6.9 ,2.6 ,3.3 ,-91.6%,,,,,,,,,100,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,山东省,济南市,河北省,秦皇岛市,济南市秦皇岛市,593,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,4.3 ,2.0 ,2.3 ,"4,484",济南市-天津市-廊坊市-秦皇岛市,济南市-秦皇岛市,1.6 ,59.0 ,-0.6 ,26.5 ,-1.6 ,0.0%,0.0%,91.6%,7.5%,T+2.6,0.0 ,T+1.1,-0.1 ,0.7 ,-0.2 ,7.2 ,-0.7 ,21.3 ,0.5 ,20.7 ,-0.7 ,9.1 ,0.5 ,357,3.4 ,7.8 ,9.2 ,4.1 ,2.0 ,-91.6%,,,,,,,,,800,162,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,山东省,威海市,河北省,衡水市,威海市衡水市,713,-,省际,-,1,-,-,2,1,落后,落后,1,4.4 ,3.2 ,1.2 ,658,威海市-青岛市-石家庄市-衡水市,威海市-济南市-衡水市,1.7 ,64.8 ,-6.9 ,26.8 ,-2.4 ,2.9%,-0.2%,94.5%,9.8%,T+2.8,-0.3 ,T+1.1,-0.1 ,9.2 ,0.5 ,16.1 ,-2.7 ,11.0 ,0.0 ,22.1 ,-5.4 ,6.4 ,0.7 ,163,2.2 ,13.5 ,5.1 ,3.3 ,2.8 ,-91.6%,,,,,,,,,200,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,福建省,莆田市,广东省,汕尾市,莆田市汕尾市,585,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.6 ,3.3 ,0.3 ,408,莆田市-广州市-汕尾市,莆田市-揭阳市-汕尾市,1.3 ,56.3 ,1.9 ,27.3 ,-0.7 ,0.5%,0.2%,92.0%,9.5%,T+2.4,0.1 ,T+1.1,-0.1 ,4.5 ,-0.4 ,11.1 ,0.2 ,12.3 ,0.8 ,24.1 ,2.7 ,4.4 ,-1.4 ,112,2.4 ,7.4 ,6.5 ,8.5 ,2.6 ,-91.5%,,,,,,,,,300,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,山东省,青岛市,江苏省,连云港市,青岛市连云港市,254,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,3.7 ,3.1 ,0.6 ,"8,476",青岛市-徐州市-连云港市,青岛市-临沂市-连云港市,1.2 ,52.7 ,0.0 ,25.3 ,-1.4 ,1.3%,0.8%,92.8%,4.0%,T+2.2,0.0 ,T+1.1,-0.1 ,4.2 ,0.1 ,11.7 ,1.7 ,9.4 ,0.5 ,23.8 ,-2.6 ,3.7 ,0.3 ,"1,117",3.8 ,10.7 ,4.4 ,3.6 ,2.9 ,-91.5%,,,,,,,,,"2,100",305,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,广东省,珠海市,湖南省,郴州市,珠海市郴州市,496,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.4 ,2.9 ,1.5 ,"2,590",珠海市-广州市-长沙市-郴州市,珠海市-广州市-郴州市,1.1 ,48.1 ,-1.5 ,23.4 ,-6.6 ,0.1%,0.1%,91.6%,29.0%,T+2.2,-0.1 ,T+1.1,-0.3 ,0.9 ,-0.1 ,12.4 ,-2.7 ,8.6 ,0.9 ,19.6 ,0.0 ,6.7 ,0.4 ,83,2.7 ,7.8 ,5.6 ,5.2 ,2.2 ,-91.5%,,,,,,,,,200,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,福建省,厦门市,广东省,河源市,厦门市河源市,520,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.5 ,2.9 ,0.6 ,432,厦门市-广州市-河源市,厦门市-惠州市-河源市,1.1 ,48.6 ,1.1 ,24.8 ,-2.4 ,1.2%,-0.2%,92.7%,12.7%,T+2.1,0.0 ,T+1.1,-0.1 ,2.8 ,-0.1 ,8.3 ,-0.7 ,10.3 ,0.9 ,23.0 ,0.7 ,4.2 ,0.3 ,82,3.9 ,4.5 ,8.0 ,6.6 ,1.9 ,-91.5%,,,,,,,,,200,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
